Treatments,Time,CD,CA,EL,DP,BU,PV,CDEVO
CDEVO_3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997
CDEVO_3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.328633348
CDEVO_3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.358166667
CDEVO_3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.425600007
CDEVO_3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.410600007
CDEVO_3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.438466638
CDEVO_3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.439600013
CDEVO_3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.405166671
CDEVO_3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.286333327
CDEVO_PV_1,0,0.0,0.0,0.0,0.0,0.0,0.10999999999999999,0.10999999999999999
CDEVO_PV_1,1,0.0,0.0,0.0,0.0,0.0,1.118480531,0.108952803
CDEVO_PV_1,2,0.0,0.0,0.0,0.0,0.0,0.802476345,0.480890278
CDEVO_PV_1,3,0.0,0.0,0.0,0.0,0.0,0.73677836,0.482021663
CDEVO_PV_1,4,0.0,0.0,0.0,0.0,0.0,0.947018974,0.35048104
CDEVO_PV_1,5,0.0,0.0,0.0,0.0,0.0,1.013079975,0.23678666
